locality,latitude,longitude
Lonavala,18.74939,73.408073
Louis Wadi,19.19681,72.960449
Lower Parel,19.010388,72.827445
Madanpura,18.9713,72.825203
Madh,19.157719,72.792072
Magathane,19.218579,72.866694
Mahalaxmi,18.983624,72.823999
Mahim,19.052193,72.840768
Majiwada,19.215929,72.990589
Makane Kapase,19.573418,72.806577
Malabar Hill,18.95441,72.800856
Malad,19.194857,72.868829
Malad Mithchowki,19.196613,72.83519
Mandvi,18.955723,72.837563
Maneklal Estate,19.09083,72.901543
Manjarli,19.182119,73.239143
Mankhurd,19.053424,72.932608
Manor,21.377474,72.677086
Manpada,19.235275,72.975123
Marine Drive,18.933281,72.823914
Marine Lines,18.945335,72.826179
Marol,19.117549,72.885393
Matunga,19.028323,72.856059
Mazagaon,18.971132,72.838712
Mazgaon,18.974676,72.838683
Mira Bhayandar,19.295233,72.854393
Mira Bhayander Road,19.285629,72.869354
Mira Road,19.287126,72.881453
Mogra Pada,19.125065,72.85517
Mount Marry,19.046871,72.823486
Mulund,19.185241,72.9483
Mulund Gavanpada,19.173115,72.964508
Mulund Mumbai,19.172554,72.942535
Mumbai,24.839264,74.861382
Mumbai Central,18.971818,72.820958
Mumbra,19.169323,73.026551
Murarbaug,19.23941,73.13623
Murbad,19.278233,73.412222
Muthaval,19.290844,73.146908
Nagpada,18.963497,72.830139
Nahur,19.161564,72.949499
Naigaon,19.368627,72.859408
Nala Sopara,19.429275,72.815553
Nalasopara,19.416082,72.797625
Nallasopara W,19.417505,72.81794
Nandivali Gaon,19.211964,73.128532
Napean Sea Road,18.962864,72.80255
Napeansea Road,20.841941,73.65657
Natakwala Lane,19.223186,72.854141
Naupada,19.123597,72.905125
Navade,18.775201,73.521481
Navapada,19.228052,73.091675
Navghar,19.32129,72.87766
Navgharh,19.382391,72.815224
Navpada Vile Parle,19.096378,72.8564
Nehru Nagar,19.063948,72.883362
"Nehru Nagar, Kanjurmarg",19.06442,72.883309
Neral,19.02569,73.31585
Nere,19.011537,73.172293
Nerul,19.056935,73.015843
New Panvel Karanjade,19.111691,72.921623
New Panvel Navi Mumbai,18.988951,73.116699
New Rajaram Wadi,19.166173,72.932106
Nilje Gaon,19.005515,73.520563
Old Panvel,18.990473,73.104179
Oshiwara,19.148997,72.840098
Oshiwara Police Station Road,19.149683,72.832916
Owale,19.267826,72.954918
P L Lokhande Marg,19.062231,72.905342
Padgha,19.36451,73.178566
Padle Gaon,19.156509,73.061577
Pakhadi,19.20425,73.002296
Palava,19.170273,73.113996
Palghar,19.675175,72.772722
Pali Hill,19.06577,72.82818
Palidevad,18.999937,73.132603
Panch Pakhadi,19.195471,72.965248
Panch Pakhdi,19.195106,72.965187
Pant Nagar,19.08899,72.914933
Panvel,18.975668,73.139209
Parel,19.053172,72.908769
Parel Village,19.002157,72.841576
Parksite Colony,19.103395,72.914383
Patil Nagar Vasind,19.404881,73.268341
Patlipada,19.240749,72.972633
Peddar Road,18.971783,72.80599
Perry Cross Rd,19.059427,72.822891
Pisarve,19.094101,73.08773
Pisavli Village,19.213554,73.123505
Pokhran 2,19.224461,72.960083
Pokhran Road No 2,19.224722,72.959869
Police Colony,19.06386,72.891136
Powai,19.120157,72.917406
Prabhadevi,19.060981,72.84531
Rabale,19.142399,73.005317
Rabale Station Road,19.14225,73.00177
Railwaycolony,19.224346,73.091751
Ram Mandir Road,19.151901,72.845596
Ramchandra Lane,19.189342,72.838837
Rasayani,18.891987,73.182626
Residential Flat Virar,19.461882,72.777657
Roadpali Navimumbai,19.018887,73.009514
Rohinjan,19.067727,73.068161
Sabe Gaon,19.178043,73.043022
Sagaon,19.195623,73.095863
Sahkar Nagar,19.062918,72.890556
